SystemTime,PolarRealtimeBPM,PolarBPM
2026-01-13 17:47:23.646,66,
2026-01-13 17:47:24.548,67,
2026-01-13 17:47:25.385,71,
2026-01-13 17:47:26.221,72,
2026-01-13 17:47:27.023,75,
2026-01-13 17:47:27.759,79,
2026-01-13 17:47:28.461,84,
2026-01-13 17:47:29.163,87,
2026-01-13 17:47:29.865,89,
2026-01-13 17:47:30.568,85,
2026-01-13 17:47:31.269,83,
2026-01-13 17:47:32.106,72,
2026-01-13 17:47:32.975,70,
2026-01-13 17:47:33.844,69,
2026-01-13 17:47:34.748,66,
2026-01-13 17:47:35.684,63,
2026-01-13 17:47:36.687,62,
2026-01-13 17:47:37.656,62,
2026-01-13 17:47:38.593,63,
2026-01-13 17:47:39.530,63,
2026-01-13 17:47:40.465,65,
2026-01-13 17:47:41.334,67,
2026-01-13 17:47:42.171,73,
2026-01-13 17:47:42.906,79,
2026-01-13 17:47:43.675,81,
2026-01-13 17:47:44.444,76,
2026-01-13 17:47:45.280,72,
2026-01-13 17:47:46.183,66,
2026-01-13 17:47:47.086,66,
2026-01-13 17:47:48.022,64,
2026-01-13 17:47:48.959,64,
2026-01-13 17:47:49.862,66,
2026-01-13 17:47:50.764,68,
2026-01-13 17:47:51.633,70,
2026-01-13 17:47:52.469,71,
2026-01-13 17:47:53.238,77,
2026-01-13 17:47:53.941,83,
2026-01-13 17:47:54.676,83,
2026-01-13 17:47:55.512,72,
2026-01-13 17:47:56.382,67,
2026-01-13 17:47:57.318,65,
2026-01-13 17:47:58.254,65,
2026-01-13 17:47:59.157,65,
2026-01-13 17:48:00.060,66,
2026-01-13 17:48:01.799,34,
2026-01-13 17:48:02.534,80,
2026-01-13 17:48:03.304,79,
2026-01-13 17:48:04.039,79,
2026-01-13 17:48:04.841,78,
2026-01-13 17:48:05.711,67,
2026-01-13 17:48:06.647,65,
2026-01-13 17:48:07.583,63,
2026-01-13 17:48:08.553,63,
2026-01-13 17:48:09.490,63,
2026-01-13 17:48:10.426,64,
2026-01-13 17:48:11.329,66,
2026-01-13 17:48:12.231,67,
2026-01-13 17:48:13.101,70,
2026-01-13 17:48:13.535,138,
2026-01-13 17:48:13.904,155,
2026-01-13 17:48:14.672,78,
2026-01-13 17:48:15.408,83,
2026-01-13 17:48:16.143,83,
2026-01-13 17:48:16.879,81,
2026-01-13 17:48:17.748,69,
2026-01-13 17:48:18.651,65,
2026-01-13 17:48:19.621,62,
2026-01-13 17:48:20.625,61,
2026-01-13 17:48:21.193,105,
2026-01-13 17:48:21.594,149,
2026-01-13 17:48:22.530,64,
2026-01-13 17:48:23.466,65,
2026-01-13 17:48:24.302,70,
2026-01-13 17:48:25.105,76,
2026-01-13 17:48:25.841,79,
2026-01-13 17:48:26.609,79,
2026-01-13 17:48:27.412,75,
2026-01-13 17:48:28.315,67,
2026-01-13 17:48:29.251,63,
2026-01-13 17:48:30.187,64,
2026-01-13 17:48:31.157,63,
2026-01-13 17:48:32.060,66,
2026-01-13 17:48:32.929,68,
2026-01-13 17:48:33.732,74,
2026-01-13 17:48:34.568,74,
2026-01-13 17:48:35.404,70,
2026-01-13 17:48:36.340,65,
2026-01-13 17:48:37.243,65,
2026-01-13 17:48:38.179,65,
2026-01-13 17:48:39.049,67,
2026-01-13 17:48:39.885,72,
2026-01-13 17:48:40.687,76,
2026-01-13 17:48:41.489,76,
2026-01-13 17:48:42.359,69,
2026-01-13 17:48:43.262,66,
2026-01-13 17:48:44.165,65,
2026-01-13 17:48:45.067,67,
2026-01-13 17:48:45.937,67,
2026-01-13 17:48:46.806,70,
2026-01-13 17:48:47.642,71,
2026-01-13 17:48:48.445,74,
2026-01-13 17:48:49.247,74,
2026-01-13 17:48:50.050,76,
2026-01-13 17:48:50.886,70,
2026-01-13 17:48:51.789,66,
2026-01-13 17:48:52.725,65,
2026-01-13 17:48:53.661,64,
2026-01-13 17:48:54.530,67,
2026-01-13 17:48:55.400,71,
2026-01-13 17:48:56.169,78,
2026-01-13 17:48:56.938,78,
2026-01-13 17:48:57.674,79,
2026-01-13 17:48:58.443,78,
2026-01-13 17:48:59.212,79,
2026-01-13 17:48:59.981,78,
2026-01-13 17:49:00.750,77,
2026-01-13 17:49:01.552,75,
2026-01-13 17:49:02.388,71,
2026-01-13 17:49:03.258,69,
2026-01-13 17:49:04.161,66,
2026-01-13 17:49:05.064,66,
2026-01-13 17:49:06.000,64,
2026-01-13 17:49:06.936,64,
2026-01-13 17:49:07.839,65,
2026-01-13 17:49:08.775,66,
2026-01-13 17:49:09.678,67,
2026-01-13 17:49:10.514,70,
2026-01-13 17:49:11.316,75,
2026-01-13 17:49:12.086,78,
2026-01-13 17:49:12.855,78,
2026-01-13 17:49:13.657,74,
2026-01-13 17:49:14.560,68,
2026-01-13 17:49:15.463,66,
2026-01-13 17:49:16.366,66,
2026-01-13 17:49:17.268,66,
2026-01-13 17:49:18.138,70,
2026-01-13 17:49:18.907,76,
2026-01-13 17:49:19.642,81,
2026-01-13 17:49:20.344,87,
2026-01-13 17:49:21.013,88,
2026-01-13 17:49:21.715,87,
2026-01-13 17:49:22.418,87,
2026-01-13 17:49:23.220,73,
2026-01-13 17:49:24.123,67,
2026-01-13 17:49:24.993,67,
2026-01-13 17:49:25.895,67,
2026-01-13 17:49:26.765,68,
2026-01-13 17:49:27.567,75,
2026-01-13 17:49:28.370,75,
2026-01-13 17:49:29.172,74,
2026-01-13 17:49:30.042,70,
2026-01-13 17:49:30.944,65,
2026-01-13 17:49:31.881,64,
2026-01-13 17:49:32.817,65,
2026-01-13 17:49:33.720,66,
2026-01-13 17:49:34.589,69,
2026-01-13 17:49:35.392,74,
2026-01-13 17:49:36.161,79,
2026-01-13 17:49:36.930,77,
2026-01-13 17:49:37.666,81,
2026-01-13 17:49:38.402,81,
